"year","month","carrier","carrier_name","arr_flights","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","cause_total"
2019,1,"AA","American Airlines Network",77017,270663,42914,216248,1603,274148,805576
2019,2,"AA","American Airlines Network",71059,303360,38317,250326,1341,366252,959596
2019,3,"AA","American Airlines Network",80027,357541,36076,173228,1117,436579,1004541
2019,4,"AA","American Airlines Network",76765,373600,58039,238300,1351,428728,1100018
2019,5,"AA","American Airlines Network",81666,455936,110260,339010,1079,643959,1550244
2019,6,"AA","American Airlines Network",80090,512086,84518,330886,3305,646665,1577460
2019,7,"AA","American Airlines Network",81801,449424,90248,272900,1753,562320,1376645
2019,8,"AA","American Airlines Network",82689,417206,80021,309858,3166,530155,1340406
2019,9,"AA","American Airlines Network",77663,280990,19779,196615,1186,305000,803570
2019,10,"AA","American Airlines Network",81028,323997,34308,218240,965,365324,942834
2019,11,"AA","American Airlines Network",77566,297484,18176,129217,1070,283323,729270
2019,12,"AA","American Airlines Network",79405,321322,23198,203348,1361,357265,906494
2020,1,"AA","American Airlines Network",76276,307687,29139,133656,1818,274339,746639
2020,2,"AA","American Airlines Network",72402,314045,24147,160952,1177,289558,789879
2020,3,"AA","American Airlines Network",80330,205294,10841,105153,562,158299,480149
2020,4,"AA","American Airlines Network",42362,64660,3124,10306,215,17882,96187
2020,5,"AA","American Airlines Network",21904,34303,3881,6497,1022,15194,60897
2020,6,"AA","American Airlines Network",27054,60249,10068,16743,271,23056,110387
2020,7,"AA","American Airlines Network",46161,119694,29032,57441,768,74222,281157
2020,8,"AA","American Airlines Network",46807,102235,25402,60183,1738,51214,240772
2020,9,"AA","American Airlines Network",38890,87461,15455,51790,1945,39117,195768
2020,10,"AA","American Airlines Network",40644,124503,13139,57472,1634,79832,276580
2020,11,"AA","American Airlines Network",38480,107406,6151,40189,1251,50157,205154
2020,12,"AA","American Airlines Network",38496,127147,16071,68509,560,66564,278851
2021,1,"AA","American Airlines Network",38226,115829,24452,78123,1096,63297,282797
2021,2,"AA","American Airlines Network",34256,126419,57584,69169,1273,75683,330128
2021,3,"AA","American Airlines Network",47648,156763,15362,70630,1739,97473,341967
2021,4,"AA","American Airlines Network",52305,172380,18915,78397,3825,114486,388003
2021,5,"AA","American Airlines Network",61032,281557,60163,134647,2427,241514,720308
2021,6,"AA","American Airlines Network",70426,526942,92065,207486,4635,550123,1381251
2021,7,"AA","American Airlines Network",72965,517268,85123,187685,4547,581457,1376080
2021,8,"AA","American Airlines Network",73455,514757,105262,193735,3675,482821,1300250
2021,9,"AA","American Airlines Network",67576,284358,28440,98562,2629,250142,664131
2021,10,"AA","American Airlines Network",73778,432892,24701,135970,3383,382109,979055
2021,11,"AA","American Airlines Network",72908,355404,8226,65305,3185,304145,736265
2021,12,"AA","American Airlines Network",71824,336696,12282,105294,3577,317044,774893
2022,1,"AA","American Airlines Network",69400,341638,28206,99241,1733,245968,716786
2022,2,"AA","American Airlines Network",64867,392979,60842,161138,2625,310399,927983
2022,3,"AA","American Airlines Network",71264,344517,25581,175142,2533,318260,866033
2022,4,"AA","American Airlines Network",67177,360191,38200,173427,1938,405587,979343
2022,5,"AA","American Airlines Network",71652,403334,68856,189886,1212,451018,1114306
